model,precision,accuracy,loss
unu-resnet101v2-round1,86.44,92.16,0.1451
unu-resnet101v2-round2,94.44,97.06,0.1330
unu-resnet101v2-round3,92.59,95.10,0.1210
unu-resnet101v2-round4,96.08,96.08,0.1283
unu-resnet101v2-round5,98.04,98.04,0.0860
