factor,sum_sq,df,F,PR(>F)
C(architecture),0.06308499066666663,5.0,12.125757815926793,1.705568810921685e-05
C(round),0.0018397853333333447,4.0,0.44203841416041423,0.7767942744228155
Residual,0.020810242666666666,20.0,,
