factor,sum_sq,df,F,PR(>F)
C(architecture),190.13177666666553,5.0,16.668390698120078,1.5644398825870038e-06
C(round),4.364933333333364,4.0,0.478328869105892,0.7512539535142213
Residual,45.62690666666681,20.0,,
