factor,sum_sq,df,F,PR(>F)
C(architecture),448.7956566666644,5.0,13.699289245831693,6.9845133273673425e-06
C(round),12.191133333333372,4.0,0.46516120222804974,0.7605176825282798
Residual,131.04202666666674,20.0,,
