model,precision,accuracy,loss
uti-resnet50v2-round1,88.12,86.46,0.4297
uti-resnet50v2-round2,89.49,87.15,0.4282
uti-resnet50v2-round3,87.11,85.42,0.4456
uti-resnet50v2-round4,90.68,89.24,0.3855
uti-resnet50v2-round5,87.30,85.07,0.4467
