factor,sum_sq,df,F,PR(>F)
C(architecture),288.9447199999995,5.0,15.13626792722755,3.2933201991656373e-06
C(round),17.416953333333364,4.0,1.1404762480577306,0.3661311765703295
Residual,76.35824666666676,20.0,,
