factor,sum_sq,df,F,PR(>F)
C(architecture),0.24784914266666655,5.0,11.949708388259038,1.8943030727145676e-05
C(round),0.014371775333333368,4.0,0.866144433702359,0.5012025957398696
Residual,0.08296408066666666,20.0,,
