factor,sum_sq,df,F,PR(>F)
C(architecture),234.07050666666646,5.0,20.264853422033195,3.2955230357222504e-07
C(round),6.919419999999965,4.0,0.7488183478470509,0.570328700051492
Residual,46.202259999999924,20.0,,
